"individual","call.id","call.dur","nnotes","min5","min95","minbw","maxbw","mean5","mean95","max5","max95","meanbw","mindurnote","maxdurnote","noterate","note1dur","note1minfreq","note1maxfreq","note2dur","note2minfreq","note2maxfreq","range.bw","rest.dur","lastnotedur","lastnoteminfreq","lastnotemaxfreq","site","Site"
"CRGG1","CRGG1_1.1",0.685903242000023,3,699.829,807.495,107.666,236.865,728.540333333333,890.039,742.896,979.761,161.499,0.0544,0.0816,4.37379475165084,0.0544,742.896,882.861,0.0816,742.896,979.761,129.199,0.468303242000023,0.0816,699.829,807.495,"CR","CR"
"CRGG1","CRGG1_1.2",1.12943105099998,3,678.296,807.495,129.199,247.632,717.773666666667,922.339,742.896,979.761,204.565333333333,0.0544,0.0816,2.6562046415705,0.0544,678.296,807.495,0.0816,732.129,979.761,118.433,0.939031050999983,0.0544,742.896,979.761,"CR","CR"
"CRGG1","CRGG1_1.3",1.25604260799997,4,645.996,785.962,139.966,290.698,697.13725,917.85275,753.662,1044.36,220.71525,0.0544,0.1088,3.18460534262392,0.1088,689.062,925.928,0.0816,753.662,1044.36,150.732,0.929642607999973,0.0544,645.996,785.962,"CR","CR"
"CRGG1","CRGG1_1.4",1.86494178800001,6,602.93,742.896,139.966,226.099,642.407166666667,818.261833333333,689.062,915.161,175.8545,0.0544,0.1088,3.21725859681362,0.0544,656.763,818.262,0.0544,635.229,839.795,86.133,1.37534178800001,0.0816,602.93,742.896,"CR","CR"
"CRGG1","CRGG1_1.5",1.60215453700005,4,689.062,882.861,193.799,301.465,732.129,1006.677,753.662,1055.127,274.5485,0.0544,0.0816,2.49663806307336,0.0816,689.062,882.861,0.0544,742.896,1044.36,107.666,1.33015453700005,0.0816,742.896,1044.36,"CR","CR"
"CRGG1","CRGG1_1.6",1.83103375600001,4,592.163,689.062,96.899,290.698,683.67925,880.16975,742.896,1033.594,196.49025,0.0544,0.1088,2.184558305871,0.0816,689.062,893.628,0.0544,742.896,1033.594,193.799,1.53183375600001,0.0544,592.163,689.062,"CR","CR"
"CRGG1","CRGG1_1.7",1.73778666700002,6,581.396,678.296,96.899,236.865,658.557,823.645166666667,678.296,915.161,165.087666666667,0.0544,0.0816,3.4526677606279,0.0816,678.296,839.795,0.0544,678.296,915.161,139.966,1.35698666700002,0.0544,581.396,678.296,"CR","CR"
"CRGG1","CRGG1_1.8",1.35632130099998,5,592.163,764.429,86.133,215.332,689.0624,833.335,732.129,915.161,144.2726,0.0544,0.0816,3.68644214045273,0.0816,592.163,764.429,0.0544,699.829,915.161,129.199,1.02992130099998,0.0544,699.829,829.028,"CR","CR"
"CRGG1","CRGG1_1.9",2.04295895899998,7,581.396,656.763,64.6,387.598,724.438428571429,913.623,785.962,1119.727,189.184571428571,0.0544,0.1361,3.42640265442556,0.0816,732.129,1119.727,0.0816,785.962,1098.193,322.998,1.44445895899998,0.0544,581.396,656.763,"CR","CR"
"CRGG1","CRGG1_1.10",1.873418797,5,721.362,936.694,215.332,366.064,745.0488,1037.9006,764.429,1119.727,292.8514,0.0544,0.0816,2.66891738676197,0.0544,721.362,958.228,0.0544,764.429,1119.727,150.732,1.547018797,0.0544,721.362,936.694,"CR","CR"
"CRGG1","CRGG1_1.11",1.81326637999996,5,689.062,861.328,172.266,236.865,749.3556,966.841,796.729,1033.594,217.4852,0.0544,0.0544,2.75745475411071,0.0544,689.062,861.328,0.0544,742.896,979.761,64.599,1.54126637999996,0.0544,742.896,947.461,"CR","CR"
"CRGG1","CRGG1_1.12",1.65301658499993,4,645.996,915.161,226.099,279.932,694.44575,947.461,732.129,1012.061,253.01525,0.0544,0.0544,2.41981843152539,0.0544,689.062,915.161,0.0544,732.129,1012.061,53.833,1.43541658499993,0.0544,710.596,947.461,"CR","CR"
