pair,lat,lon,notes,file.path
CRGG1,5.29341,116.0136,,/Volumes/DJC Small HardDrive/Great Call Recordings/Crocker range
CRGG3,5.29382,116.01445,,/Volumes/DJC Small HardDrive/Great Call Recordings/Crocker range
DV1,4.57846,117.48297,,/Volumes/DJC Small HardDrive/Great Call Recordings/Danum
DVGG12,4.570005,117.4806271,,/Volumes/DJC Small HardDrive/Great Call Recordings/Danum
DVGG13,4.569,117.4688338,,/Volumes/DJC Small HardDrive/Great Call Recordings/Danum
DVGG17,4.561567692,117.4577323,,/Volumes/DJC Small HardDrive/Great Call Recordings/Danum
DVGG19,4.559282121,117.4535045,,/Volumes/DJC Small HardDrive/Great Call Recordings/Danum
DKGG10,5.21736,117.26938,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG11,5.124717973,117.278577,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG2,5.167483492,117.2665668,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG3,5.167493548,117.2591745,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG4,5.22042,117.25449,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG5,5.22184,117.25014,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG6,5.2199,117.25755,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG7,5.136623571,117.2698189,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
DKGG9,5.10653048,117.2759558,,/Volumes/DJC Small HardDrive/Great Call Recordings/Dermakot
ICGG10,5.065358028,117.0285141,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG11,5.06514,117.02822,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG12,5.065449091,117.0264836,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG13,5.048125739,117.0339791,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG14,4.943754545,117.0741073,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG2,5.06696,117.02824,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG3,5.008080588,117.0542059,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG7,5.066252963,117.0269793,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
ICGG8,4.976580678,117.0652539,,/Volumes/DJC Small HardDrive/Great Call Recordings/Imbak Canyon
KBTGG1,5.067878,117.022156,,/Volumes/DJC Small HardDrive/Great Call Recordings/Kinbatangan
KBTGG3,5.32291,118.18422,,/Volumes/DJC Small HardDrive/Great Call Recordings/Kinbatangan
KBTGG4,5.07021,117.02374,,/Volumes/DJC Small HardDrive/Great Call Recordings/Kinbatangan
MBGG1,5.07021,117.02374,,/Volumes/DJC Small HardDrive/Great Call Recordings/Maliau
MBGG4,4.560586134,116.7988204,Could not find so took average of other maliau groups,/Volumes/DJC Small HardDrive/Great Call Recordings/Maliau
MBGG5,4.777055068,117.0417181,,/Volumes/DJC Small HardDrive/Great Call Recordings/Maliau
MBGG6,4.472203333,116.6311755,Mosque,/Volumes/DJC Small HardDrive/Great Call Recordings/Maliau
MBGG7,4.4325,116.7235675,Observation tower,/Volumes/DJC Small HardDrive/Great Call Recordings/Maliau
CHILL,4.4381892,117.3621478,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
CRIP,4.43494444,117.3588675,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEAGG1,4.42609,117.39413,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEAGG2,4.42575,117.39676,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEAGG3,4.42726,117.3924,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEAGG4,4.42538,117.38948,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEAGG6,4.426288056,117.3928956,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEAGG7,4.43004,117.39481,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEAGG9,4.42397,117.39499,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEBNGG1,4.43694,117.36178,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFEBNGG2,4.43972,117.36324,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFELFEGG2,4.416264762,117.3203662,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFELFEGG4,4.43936,117.35636,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SAFELFEGG5,4.43707459,117.3577584,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE July and August 2015
SCA,4.42702,117.37587,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE/Great Call Recordings Matched to Vocalisation Spreadsheet 02.10.2015
SCB,4.4284,117.37819,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE/Great Call Recordings Matched to Vocalisation Spreadsheet 02.10.2015
SFA,4.41588,117.31903,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE/Great Call Recordings Matched to Vocalisation Spreadsheet 02.10.2015
SME,4.44058,117.35532,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE/Great Call Recordings Matched to Vocalisation Spreadsheet 02.10.2015
SMF,4.43794,117.36197,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE/Great Call Recordings Matched to Vocalisation Spreadsheet 02.10.2015
SMG,4.43794,117.36197,,/Volumes/DJC Small HardDrive/Great Call Recordings/SAFE/Great Call Recordings Matched to Vocalisation Spreadsheet 02.10.2015
